rank,opportunity_score,query,category,source_name,title,price,query_median_price,query_min_price,query_offer_count,query_source_count,price_gap_to_median_pct,demand_proxy,confidence,item_url,image_url,fetched_at
44,74.04,mouse gamer,mouse,kabum,Cabo Adaptador Conversor HDMI para VGA F + Áudio F3 - JC- AD-HM/VGA,18.99,124.10,6.99,94,6,0.8470,0.00,0.95,https://www.kabum.com.br/produto/112044/cabo-adaptador-conversor-hdmi-para-vga-f-audio-f3-jc-ad-hm-vga,https://images.kabum.com.br/produtos/fotos/112044/cabo-adaptador-conversor-f3-hdmi-x-vga-f-audio-jc-ad-hm-vga_1659733792_m.jpg,2026-05-01 13:17:01.473 -0300
45,73.84,webcam,webcam,kabum,"Webcam Redragon Streaming Fobos, HD 720p, 2 Microfones, Redução de Ruídos - GW600-1",26.46,139.99,9.81,83,4,0.8110,5.00,0.95,https://www.kabum.com.br/produto/252274/webcam-redragon-streaming-fobos-hd-720p-2-microfones-reducao-de-ruidos-gw600-1,https://images.kabum.com.br/produtos/fotos/252274/webcam-gamer-e-streamer-redragon-fobos-720p-30-fps-2-microfones-integrados-preto-gw600-1_1634743887_m.jpg,2026-05-02 04:23:44.631 -0300
46,73.80,hub usb,mouse,shopee,Hub Usb 3.0 4 Portas 5 Gbps Super Rapido Mouse Teclado Hd,12.99,43.99,7.04,53,5,0.7047,3893.00,0.75,https://shopee.com.br/Hub-Usb-3.0-4-Portas-5-Gbps-Super-Rapido-Mouse-Teclado-Hd-i.400311012.22338608092,https://down-br.img.susercontent.com/file/sg-11134201-7rcex-lsmvou121qcy48,2026-05-01 13:13:24.880 -0300
47,73.61,mouse sem fio,mouse,terabyte,Mouse Gamer Kalkan Jotnar 12400 DPI PAW 3327,9.60,60.34,5.49,91,6,0.8409,0.00,0.95,https://www.terabyteshop.com.br/produto/36684/mouse-gamer-kalkan-jotnar-12400-dpi-paw-3327-5-botoes-preto-klk00010,https://img.terabyteshop.com.br/produto/m/mouse-gamer-kalkan-jotnar-12400-dpi-paw-3327-5-botoes-preto-klk00010_241006.jpg,2026-05-03 11:21:31.558 -0300
48,73.09,webcam,webcam,kabum,"Webcam Rise Mode Vision 4K, 30 FPS, Microfone Digital, USB, Branco - RM-WECM-4K-W",26.92,139.99,9.81,83,4,0.8077,3.00,0.95,https://www.kabum.com.br/produto/513739/webcam-rise-mode-vision-4k-30-fps-microfone-digital-usb-branco-rm-wecm-4k-w,https://images.kabum.com.br/produtos/fotos/513739/webcam-rise-mode-vision-4k-30-fps-microfone-digital-usb-branco-rm-wecm-4k-w_1715092626_m.jpg,2026-05-02 12:37:49.524 -0300
49,73.07,teclado gamer,teclado,shopee,Teclado Gamer Com Fio Semi-mecânico RGB LED retroiluminado Computador Pc,49.88,174.98,43.90,91,5,0.7149,1280.00,0.75,https://shopee.com.br/Teclado-Gamer-Com-Fio-Semi-mec%C3%A2nico-RGB-LED-retroiluminado-Computador-Pc-i.883941882.18399302282,https://down-br.img.susercontent.com/file/sg-11134201-7rffg-m9rsq7bzuyspcd,2026-05-01 13:11:44.795 -0300
50,73.04,mouse gamer,mouse,amazon,"Mouse Gamer Exbom RGB Óptico 1200dpi Com Fio USB Ambidestro Preço, página do produto",14.99,124.10,6.99,94,6,0.8792,0.00,0.90,https://www.amazon.com.br/sspa/click,https://m.media-amazon.com/images/I/51m3nfv013L._AC_UL320_.jpg,2026-05-02 18:03:29.290 -0300
51,73.00,adaptador wifi usb,hub_adaptador,amazon,Adaptador USB WiFi com Antena 1200Mbps Strong Tech,8.99,43.99,8.83,55,3,0.7956,59.00,0.90,https://www.amazon.com.br/dp/B0B5YG6ZRJ,https://m.media-amazon.com/images/I/41V8GIVJaJL._AC_UL320_.jpg,2026-05-02 12:58:10.436 -0300
52,72.99,hub usb,hub_adaptador,amazon,"Expansor Hub Usb 3.0 4 Portas Com Led Super Rápido 5.0 Gbps,( cores variadas )",14.70,43.99,7.04,53,5,0.6658,9500.00,0.90,https://www.amazon.com.br/dp/B08QQ74K4D,https://m.media-amazon.com/images/I/51dRPTWsVkL._AC_UL320_.jpg,2026-05-03 03:05:28.970 -0300
53,72.78,webcam,webcam,amazon,Webcam Full HD 1080P Com Microfone Home Office VideoConferencia Câmera USB para Computador Notebook Aulas Online Plug & Play Premium,38.90,139.99,9.81,83,4,0.7221,386.00,0.90,https://www.amazon.com.br/dp/B0FKBYCVY5,https://m.media-amazon.com/images/I/31KcGswNHSL._AC_UL320_.jpg,2026-05-02 04:15:14.996 -0300
54,72.69,webcam,webcam,shopee,Câmera Webcam Full HD 1080p Microfone Integrado Giratório 360° Regulagem Livre Ideal para PC Notebook e Home Office,33.49,139.99,9.81,83,4,0.7608,79.00,0.75,https://shopee.com.br/C%C3%A2mera-Webcam-Full-HD-1080p-Microfone-Integrado-Girat%C3%B3rio-360%C2%B0-Regulagem-Livre-Ideal-para-PC-Notebook-e-Home-Office-i.1373548058.58254406803,https://down-br.img.susercontent.com/file/sg-11134201-8260v-mk4xv5t8sjyc14,2026-05-01 13:14:57.248 -0300
55,72.49,teclado mecanico,teclado,shopee,Teclado Gamer Com Fio Semi-mecânico RGB LED retroiluminado Computador Pc,49.88,169.99,16.03,93,6,0.7066,1280.00,0.75,https://shopee.com.br/Teclado-Gamer-Com-Fio-Semi-mec%C3%A2nico-RGB-LED-retroiluminado-Computador-Pc-i.883941882.18399302282,https://down-br.img.susercontent.com/file/sg-11134201-7rffg-m9rsq7bzuyspcd,2026-05-01 13:10:46.615 -0300
