product_id,product_name,product_name_key,domain_id,category,status,brand,line,model,gtin,main_color,first_image_url,queries,query_count,fetched_date,fetched_at,source_file
MLB37998493,Módulo Tomada Carregador USB-C Sleek 2A Bivolt Branco Margirius,modulo tomada carregador usb c sleek 2a bivolt branco margirius,MLB-ELECTRICAL_OUTLETS,cabo,active,MarGirius,Sleek,22389,7890428223890,Branco,https://http2.mlstatic.com/D_NQ_NP_668481-MLA96739597403_102025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
MLB37850163,Carregador Usb-c Dji 100w Br - Dji1032,carregador usb c dji 100w dji1032,MLB-DRONE_BATTERY_CHARGERS,cabo,active,DJI,,DJI1032,7908685684634,,https://http2.mlstatic.com/D_NQ_NP_922462-MLA96143907091_102025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
MLB23164965,Mouse Carregador Usb Rosa Gamer C/ Luzes Coloridas Jogo,mouse carregador usb rosa gamer c luzes coloridas jogo,MLB-COMPUTER_MICE,mouse,active,mouse sem fio,,"Wireless,Home Office, Trabalho",7890695270733,Rosa,https://http2.mlstatic.com/D_NQ_NP_893663-MLU69354825841_052023-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
MLB39053043,Carregador USB C para Macbook Pro,carregador usb c macbook pro,MLB-LAPTOP_CHARGERS,cabo,active,Ifeart,,mz90pd-1,884710723929,Branco,https://http2.mlstatic.com/D_NQ_NP_934037-MLU78206053747_082024-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
MLB32347567,Carregador Usb Tipo C 3a Cp-ad3 Branco Sony,carregador usb tipo c 3a cp ad3 branco sony,MLB-PDA_CHARGERS,cabo,active,Sony,,CP-AD3,8562017535,,https://http2.mlstatic.com/D_NQ_NP_697848-MLA100002737119_112025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
MLB46814965,"Carregador USB-c para Apple Watch, cor branca",carregador usb c apple watch cor branca,MLB-SMARTWATCH_CHARGERS,cabo,active,Xiaomi,,Para Apple Watch,8596311129360,,https://http2.mlstatic.com/D_NQ_NP_823863-MLA82912934369_032025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:25.379 -0300,mercado_livre_products_raw_202605041308.csv
MLB65300475,"Receptáculo Elegrp USB C, 65 W, ultrarrápido, pacote com 6",receptaculo elegrp usb c 65 w ultrarrapido pacote 6,MLB-ELECTRICAL_OUTLETS,cabo,active,Elegrp,,ELEGRP,,,https://http2.mlstatic.com/D_NQ_NP_754201-MLA106023275650_022026-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:29.354 -0300,mercado_livre_products_raw_202605041308.csv
MLB62386233,"Receptáculo USB C ultrarrápido Elegrp 65 W, 20 W, pacote",receptaculo usb c ultrarrapido elegrp 65 w 20 w pacote,MLB-ELECTRICAL_OUTLETS,cabo,active,Elegrp,,ELEGRP,,,https://http2.mlstatic.com/D_NQ_NP_846899-MLA98506461726_112025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:29.354 -0300,mercado_livre_products_raw_202605041308.csv
MLB37844818,"Carregador Awinner Fitbit Blaze Clip, carregador USB de substituição",carregador awinner fitbit blaze clip carregador usb substituicao,MLB-SMARTWATCH_CHARGERS,cabo,active,AWINNER,,Blaze,713533356208,,https://http2.mlstatic.com/D_NQ_NP_633692-MLU77178605517_062024-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:29.354 -0300,mercado_livre_products_raw_202605041308.csv
MLB32084291,Cabo Carregador Usb-c Tipo C Usb-c Tipo C S22 S21 S20 Fe,cabo carregador usb c tipo c usb c tipo c s22 s21 s20 fe,MLB-DATA_CABLES_AND_ADAPTERS,cabo,active,Lehmox,,,6974407809846,,https://http2.mlstatic.com/D_NQ_NP_854480-MLA95063211578_102025-F.jpg,carregador usb c,1,2026-05-03,2026-05-02 22:14:29.354 -0300,mercado_livre_products_raw_202605041308.csv
